price,source_product_id,product_name,product_url,review_count,star_rating
$45.98,B00J8R0O3E,"Estee Lauder Perfecting Loose Powder, Light Medium, 0.35 Ounce",https://www.amazon.com/Estee-Lauder-Perfecting-Powder-Medium/dp/B00J8R0O3E/ref=sr_1_77?qid=1556613053&refinements=p_89%3AEstee+Lauder&s=beauty-intl-ship&sr=1-77,16.0,4.2 out of 5 stars
$37.99,B005QCT3OQ,"Estee Lauder Double Wear Stay-in-Place Flawless Wear Concealer, 3C Medium",https://www.amazon.com/Estee-Lauder-Double-Flawless-Concealer/dp/B005QCT3OQ/ref=sr_1_78?qid=1556613053&refinements=p_89%3AEstee+Lauder&s=beauty-intl-ship&sr=1-78,22.0,4.1 out of 5 stars
$13.03,B01KYS4HXS,"Estee Lauder Pure Colour Envy Shimmer Gloss Number 420, Reckless Bloom 4.6ml by Estee Lauder",https://www.amazon.com/Estee-Lauder-Colour-Shimmer-Reckless/dp/B01KYS4HXS/ref=sr_1_79?qid=1556613053&refinements=p_89%3AEstee+Lauder&s=beauty-intl-ship&sr=1-79,2.0,5.0 out of 5 stars
$43.24,B01GIA181U,"Estee Lauder Revitalizing Supreme Plus Global Anti-aging Creme for Women, 1 Ounce",https://www.amazon.com/Estee-Lauder-Revitalizing-Supreme-Anti-aging/dp/B01GIA181U/ref=sr_1_80?qid=1556613053&refinements=p_89%3AEstee+Lauder&s=beauty-intl-ship&sr=1-80,32.0,4.0 out of 5 stars
$28.00,B00C3NBDH6,Estee Lauder Sumptuous Bold Volume Lifting Mascara 01 Black 0.1oz/2.8ml*4,https://www.amazon.com/Estee-Lauder-Sumptuous-Lifting-Mascara/dp/B00C3NBDH6/ref=sr_1_81?qid=1556613053&refinements=p_89%3AEstee+Lauder&s=beauty-intl-ship&sr=1-81,94.0,4.4 out of 5 stars
$57.80,B00I6E7XHU,"Estee Lauder Bronze Goddess Powder Bronzer, No. 02 Medium, 0.74 Ounce",https://www.amazon.com/Estee-Lauder-Bronze-Goddess-Bronzer/dp/B00I6E7XHU/ref=sr_1_82?qid=1556613053&refinements=p_89%3AEstee+Lauder&s=beauty-intl-ship&sr=1-82,25.0,4.7 out of 5 stars
$25.00,B013HA4DFC,"Estee Lauder Lisa Perry Pure Color Long Lasting Lipstick, Candy Shimmer #16",https://www.amazon.com/Estee-Lauder-Lasting-Lipstick-Shimmer/dp/B013HA4DFC/ref=sr_1_83?qid=1556613053&refinements=p_89%3AEstee+Lauder&s=beauty-intl-ship&sr=1-83,14.0,4.2 out of 5 stars
$45.94,B00CAUJF1S,"Estee Lauder Daywear Advanced Multi-Protection Anti-Oxidant and UV Defense Lotion, 1 Ounce",https://www.amazon.com/Estee-Lauder-Advanced-Multi-Protection-Anti-Oxidant/dp/B00CAUJF1S/ref=sr_1_84?qid=1556613053&refinements=p_89%3AEstee+Lauder&s=beauty-intl-ship&sr=1-84,12.0,3.9 out of 5 stars
$24.60,B072MMSGP3,Estee Lauder Pure Color Envy Lash Multi Effects Mascara - # 01 Black 6ml/0.21oz,https://www.amazon.com/Estee-Lauder-Color-Effects-Mascara/dp/B072MMSGP3/ref=sr_1_85?qid=1556613053&refinements=p_89%3AEstee+Lauder&s=beauty-intl-ship&sr=1-85,3.0,4.3 out of 5 stars
$43.08,B01D9A7BLS,"Estee Lauder Advanced Night Micro Cleansing Balm, 2.2 Ounce",https://www.amazon.com/Estee-Lauder-Advanced-Night-Cleansing/dp/B01D9A7BLS/ref=sr_1_86?qid=1556613053&refinements=p_89%3AEstee+Lauder&s=beauty-intl-ship&sr=1-86,7.0,5.0 out of 5 stars
$84.95,B00FTZLWKI,"Estee Lauder Resilience Spf 15 Lift Firming/Sculpting Face and Neck Lotion, 1.7 Ounce",https://www.amazon.com/Estee-Lauder-Resilience-Firming-Sculpting/dp/B00FTZLWKI/ref=sr_1_87?qid=1556613053&refinements=p_89%3AEstee+Lauder&s=beauty-intl-ship&sr=1-87,5.0,5.0 out of 5 stars
$39.99,B07BKPD9JK,estee Lauder Resilience Lift Extreme Ultra Firming Eye Creme .34 Oz/10ml Unbox,https://www.amazon.com/estee-Lauder-Resilience-Extreme-Firming/dp/B07BKPD9JK/ref=sr_1_88?qid=1556613053&refinements=p_89%3AEstee+Lauder&s=beauty-intl-ship&sr=1-88,13.0,4.1 out of 5 stars
$29.99,B015RIVOBI,"Estee Lauder Little Black Liner, No. 01 Onyx, 0.03 Ounce",https://www.amazon.com/Estee-Lauder-Little-Black-Liner/dp/B015RIVOBI/ref=sr_1_89?qid=1556613053&refinements=p_89%3AEstee+Lauder&s=beauty-intl-ship&sr=1-89,6.0,3.8 out of 5 stars
$135.90,B07K58J142,Estee Lauder 2018 Holiday Blockbuster Gift Set $440+ Value Warm Color,https://www.amazon.com/Estee-Lauder-Holiday-Blockbuster-Value/dp/B07K58J142/ref=sr_1_90?qid=1556613053&refinements=p_89%3AEstee+Lauder&s=beauty-intl-ship&sr=1-90,14.0,4.5 out of 5 stars
$59.95,B001BKNJWO,"Estee Lauder SPF 10 Double Wear Light Stay-in-Place Makeup with Intensity 3.0, 1 Ounce",https://www.amazon.com/Estee-Lauder-Double-Place-Intensity/dp/B001BKNJWO/ref=sr_1_91?qid=1556613053&refinements=p_89%3AEstee+Lauder&s=beauty-intl-ship&sr=1-91,9.0,4.9 out of 5 stars
$26.00,B00SXOC11G,"Estee Lauder Double Wear Stay-in-Place Eye Pencil, 06 Sapphire, 0.04 Ounce",https://www.amazon.com/Estee-Lauder-Double-Place-Sapphire/dp/B00SXOC11G/ref=sr_1_92?qid=1556613053&refinements=p_89%3AEstee+Lauder&s=beauty-intl-ship&sr=1-92,12.0,4.7 out of 5 stars
$39.90,B06XTT54BT,Estee Lauder Bronze Goddess Illuminating Powder Gelee - Heatwave,https://www.amazon.com/Estee-Lauder-Bronze-Goddess-Illuminating/dp/B06XTT54BT/ref=sr_1_93?qid=1556613053&refinements=p_89%3AEstee+Lauder&s=beauty-intl-ship&sr=1-93,,
,B00SXOBRDO,"Estee Lauder Double Wear Stay In Place Eye Pencil New Packaging, No. 02 Coffee, 0.04 Ounce",https://www.amazon.com/Estee-Lauder-Double-Pencil-Packaging/dp/B00SXOBRDO/ref=sr_1_94?qid=1556613053&refinements=p_89%3AEstee+Lauder&s=beauty-intl-ship&sr=1-94,15.0,3.5 out of 5 stars
$58.50,B00YD9PBB2,"Estee Lauder Nutritious Vitality8 Night Radiant Overnight Creme/Mask, 1.7 Ounce",https://www.amazon.com/Estee-Lauder-Nutritious-Vitality8-Overnight/dp/B00YD9PBB2/ref=sr_1_95?qid=1556613053&refinements=p_89%3AEstee+Lauder&s=beauty-intl-ship&sr=1-95,5.0,4.7 out of 5 stars
$28.90,B00KFSOW7E,4 Estee Lauder Take It Away Makeup Remover Lotion 4 X 1 Fl Oz,https://www.amazon.com/Estee-Lauder-Makeup-Remover-Lotion/dp/B00KFSOW7E/ref=sr_1_96?qid=1556613053&refinements=p_89%3AEstee+Lauder&s=beauty-intl-ship&sr=1-96,55.0,4.2 out of 5 stars
$64.74,B00DSOY2OA,,https://www.amazon.com/Lauder-Advanced-Synchronized-Recovery-Complex/dp/B00DSOY2OA/ref=sr_1_97?qid=1556613061&refinements=p_89%3AEstee+Lauder&s=beauty-intl-ship&sr=1-97,21.0,3.3 out of 5 stars
$115.25,B00GRFR25I,"Estee Lauder Resilience Lift Firming/Sculpting Face and Neck Creme, 1.7 Ounce",https://www.amazon.com/Estee-Lauder-Resilience-Firming-Sculpting/dp/B00GRFR25I/ref=sr_1_98?qid=1556613061&refinements=p_89%3AEstee+Lauder&s=beauty-intl-ship&sr=1-98,7.0,4.5 out of 5 stars
$46.00,B0002DP4MY,"Estee Lauder Lucidity Translucent Pressed Powder, No. 02 Light/Medium-Normal/Combination/Dry Skin, 0.4 Ounce",https://www.amazon.com/Estee-Lauder-Translucent-Medium-Normal-Combination/dp/B0002DP4MY/ref=sr_1_99?qid=1556613061&refinements=p_89%3AEstee+Lauder&s=beauty-intl-ship&sr=1-99,10.0,4.8 out of 5 stars
$92.93,B01GVKHQ8Q,"Estee Lauder Advanced Night Repair Intensive Recovery Ampoules, 60 Count",https://www.amazon.com/Estee-Lauder-Advanced-Intensive-Recovery/dp/B01GVKHQ8Q/ref=sr_1_100?qid=1556613061&refinements=p_89%3AEstee+Lauder&s=beauty-intl-ship&sr=1-100,6.0,5.0 out of 5 stars
$104.50,B006NQUHXK,"Estee Lauder Re-Nutriv Ultimate Lift Age-Correcting Eye Creme for Unisex, 0.5 Ounce",https://www.amazon.com/Estee-Lauder-Re-Nutriv-Ultimate-Age-Correcting/dp/B006NQUHXK/ref=sr_1_101?qid=1556613061&refinements=p_89%3AEstee+Lauder&s=beauty-intl-ship&sr=1-101,12.0,3.1 out of 5 stars
$44.10,B00B5QWFCO,"Estee Lauder Double Wear Stay-In-Place Makeup, Pure Beige, 1 Ounce",https://www.amazon.com/Estee-Lauder-Double-Place-Makeup/dp/B00B5QWFCO/ref=sr_1_102?qid=1556613061&refinements=p_89%3AEstee+Lauder&s=beauty-intl-ship&sr=1-102,7.0,3.3 out of 5 stars
$12.99,B00FC1WCK8,"Estee Lauder Advanced Night Repair Recovery Complex II, Travel Size (.24oz/7ml)",https://www.amazon.com/Estee-Lauder-Advanced-Recovery-Complex/dp/B00FC1WCK8/ref=sr_1_103?qid=1556613061&refinements=p_89%3AEstee+Lauder&s=beauty-intl-ship&sr=1-103,1.0,5.0 out of 5 stars
$54.40,B009QUCL9I,"Estee Lauder Advanced Time Zone Age Reversing Line and Wrinkle Eye Cream, 0.5 Ounce",https://www.amazon.com/Estee-Lauder-Advanced-Reversing-Wrinkle/dp/B009QUCL9I/ref=sr_1_104?qid=1556613061&refinements=p_89%3AEstee+Lauder&s=beauty-intl-ship&sr=1-104,18.0,3.0 out of 5 stars
$75.20,B00I0MV8IS,Estee Lauder Advanced Time Zone Age Reversing Line & Wrinkle Creme Oil-Free SPF 15 50ml/1.7oz - Normal to Combination Skin,https://www.amazon.com/Estee-Lauder-Advanced-Reversing-Oil-Free/dp/B00I0MV8IS/ref=sr_1_105?qid=1556613061&refinements=p_89%3AEstee+Lauder&s=beauty-intl-ship&sr=1-105,4.0,4.3 out of 5 stars
,B01AZAXID0,Estee Lauder Advanced Night Repair Concentrated Recovery Power Foil 4 Piece Mask,https://www.amazon.com/Estee-Lauder-Advanced-Concentrated-Recovery/dp/B01AZAXID0/ref=sr_1_106?qid=1556613061&refinements=p_89%3AEstee+Lauder&s=beauty-intl-ship&sr=1-106,7.0,2.8 out of 5 stars
$19.99,B075MRNTMS,"Estee Lauder Double Wear Makeup Kit (3 Piece Set), Perfecting Primer, Foundation Brush Remover Wipes, Foundation Brush, Travel Size",https://www.amazon.com/Estee-Lauder-Perfecting-Foundation-Remover/dp/B075MRNTMS/ref=sr_1_107?qid=1556613061&refinements=p_89%3AEstee+Lauder&s=beauty-intl-ship&sr=1-107,4.0,2.3 out of 5 stars
$41.99,B007HUA81M,Estee Lauder Double Wear Stay In Place Makeup 1W1 Bone 1 Ounce,https://www.amazon.com/Estee-Lauder-Double-Place-Makeup/dp/B007HUA81M/ref=sr_1_108?qid=1556613061&refinements=p_89%3AEstee+Lauder&s=beauty-intl-ship&sr=1-108,20.0,3.5 out of 5 stars
$28.99,B078PSZ1Y6,,https://www.amazon.com/Lauder-Perfecting-Pressed-0-28-oz-Translucent/dp/B078PSZ1Y6/ref=sr_1_109?qid=1556613061&refinements=p_89%3AEstee+Lauder&s=beauty-intl-ship&sr=1-109,2.0,5.0 out of 5 stars
$149.99,B005N03DB0,"Estee Lauder Resilience Lift Firming Sculpting Face & Neck Creme SPF 15, Normal/Combination, 2.5 Ounce",https://www.amazon.com/Estee-Lauder-Resilience-Sculpting-Combination/dp/B005N03DB0/ref=sr_1_110?qid=1556613061&refinements=p_89%3AEstee+Lauder&s=beauty-intl-ship&sr=1-110,13.0,4.7 out of 5 stars
$42.06,B0009TNBWG,"Estee Lauder Double Wear Stay In Place SPF 10 Makeup, Wheat, 1 Ounce",https://www.amazon.com/Estee-Lauder-Double-Place-Makeup/dp/B0009TNBWG/ref=sr_1_111?qid=1556613061&refinements=p_89%3AEstee+Lauder&s=beauty-intl-ship&sr=1-111,14.0,4.0 out of 5 stars
$48.99,B01FN229JO,Estee Lauder DayWear Advance Multi-Protection Anti-oxidant Creme SPF15 - 1.5oz/45ml Travel Size (Set 3 Jars .5oz each),https://www.amazon.com/Estee-Lauder-DayWear-Multi-Protection-Anti-oxidant/dp/B01FN229JO/ref=sr_1_112?qid=1556613061&refinements=p_89%3AEstee+Lauder&s=beauty-intl-ship&sr=1-112,11.0,4.4 out of 5 stars
$42.00,B00CAUJILA,"Estee Lauder Perfectly Clean Triple Action Cleanser for Unisex, 5 Ounce",https://www.amazon.com/Estee-Lauder-Perfectly-Triple-Cleanser/dp/B00CAUJILA/ref=sr_1_113?qid=1556613061&refinements=p_89%3AEstee+Lauder&s=beauty-intl-ship&sr=1-113,17.0,4.0 out of 5 stars
$47.15,B01CXW5PSO,"Estee Lauder Pure Color Envy Sculpting Blush, 140 Alluring Rose",https://www.amazon.com/Estee-Lauder-Color-Sculpting-Alluring/dp/B01CXW5PSO/ref=sr_1_114?qid=1556613061&refinements=p_89%3AEstee+Lauder&s=beauty-intl-ship&sr=1-114,1.0,5.0 out of 5 stars
$47.55,B01CXXTCLO,Estee Lauder Pure Color Envy Sculpting Blush Sensuous Rose,https://www.amazon.com/Estee-Lauder-Color-Blush-SENSUOUS/dp/B01CXXTCLO/ref=sr_1_115?qid=1556613061&refinements=p_89%3AEstee+Lauder&s=beauty-intl-ship&sr=1-115,1.0,1.0 out of 5 stars
,B00EED2E0I,"Estee Lauder Take It Away Makeup Remover Lotion for Unisex, 6.7 Ounce",https://www.amazon.com/Estee-Lauder-Makeup-Remover-Lotion/dp/B00EED2E0I/ref=sr_1_116?qid=1556613061&refinements=p_89%3AEstee+Lauder&s=beauty-intl-ship&sr=1-116,53.0,4.3 out of 5 stars
