product_id,source_product_name,digit_in_url
2240,"Redmi 5 (Rose Gold, 64 GB)",https://www.digit.in/reviews/mobile-phones/xiaomi-redmi-5-4gb-review-129001.html
2240,"Redmi 5A (Blue, 16 GB)",https://www.digit.in/reviews/mobile-phones/xiaomi-redmi-5-4gb-review-129001.html
2234,"Redmi Note 5 Pro (Black, 64 GB)",https://www.digit.in/reviews/mobile-phones/xiaomi-redmi-5-note-pro-review-126065.html
2235,"Redmi Note 5 Pro (Blue, 64 GB)",https://www.digit.in/reviews/mobile-phones/xiaomi-redmi-5-note-pro-review-126065.html
2235,"Redmi Note 5 Pro (Gold, 4GB RAM, 64GB Storage)",https://www.digit.in/reviews/mobile-phones/xiaomi-redmi-5-note-pro-review-126065.html
2235,"Redmi Note 5 Pro (Gold, 6GB RAM, 64GB Storage)",https://www.digit.in/reviews/mobile-phones/xiaomi-redmi-5-note-pro-review-126065.html
2235,"Redmi Note 5 Pro (Rose Gold, 64 GB)",https://www.digit.in/reviews/mobile-phones/xiaomi-redmi-5-note-pro-review-126065.html
2235,"Redmi Note 5 Pro (Rose Gold, 64 GB)",https://www.digit.in/reviews/mobile-phones/xiaomi-redmi-5-note-pro-review-126065.html
2413,"Redmi 6 Pro (Gold, 32 GB)",https://www.digit.in/reviews/mobile-phones/xiaomi-redmi-6-pro-64gb-review-132846.html
2415,"Redmi 6 Pro (Lake Blue, 64 GB)",https://www.digit.in/reviews/mobile-phones/xiaomi-redmi-6-pro-64gb-review-132846.html
2415,"Redmi 6 Pro (Red, 32 GB)",https://www.digit.in/reviews/mobile-phones/xiaomi-redmi-6-pro-64gb-review-132846.html
2415,"Redmi 6 Pro (Red, 4GB RAM, 64GB Storage)",https://www.digit.in/reviews/mobile-phones/xiaomi-redmi-6-pro-64gb-review-132846.html
2415,"Redmi 6 Pro (Red, 4GB RAM, 64GB Storage)",https://www.digit.in/reviews/mobile-phones/xiaomi-redmi-6-pro-64gb-review-132846.html
2415,"Redmi 6 Pro (Red, 4GB RAM, 64GB Storage)",https://www.digit.in/reviews/mobile-phones/xiaomi-redmi-6-pro-64gb-review-132846.html
2415,"Redmi 6 Pro (Red, 64 GB)",https://www.digit.in/reviews/mobile-phones/xiaomi-redmi-6-pro-64gb-review-132846.html
2417,"Mi Redmi 6A (Black, 2GB RAM, 32GB Storage)",https://www.digit.in/reviews/mobile-phones/xiaomi-redmi-6a-review-136317.html
2417,"Mi Redmi 6A (Gold, 2GB RAM, 16GB Storage)",https://www.digit.in/reviews/mobile-phones/xiaomi-redmi-6a-review-136317.html
2417,"Mi Redmi 6A (Rose Gold, 2GB RAM, 32GB Storage)",https://www.digit.in/reviews/mobile-phones/xiaomi-redmi-6a-review-136317.html
2415,"Redmi 6A (Blue, 2GB RAM, 32GB Storage)",https://www.digit.in/reviews/mobile-phones/xiaomi-redmi-6a-review-136317.html
2417,"Redmi 6A (Blue, 2GB RAM, 32GB Storage)",https://www.digit.in/reviews/mobile-phones/xiaomi-redmi-6a-review-136317.html
2417,"Redmi 6A (Gold, 32 GB)",https://www.digit.in/reviews/mobile-phones/xiaomi-redmi-6a-review-136317.html
2417,"Redmi 6A (Rose Gold, 32 GB)",https://www.digit.in/reviews/mobile-phones/xiaomi-redmi-6a-review-136317.html
2417,"Redmi 7 (Comet Blue, 2GB RAM, 32GB Storage)",https://www.digit.in/reviews/mobile-phones/xiaomi-redmi-7-review-177285.html
2499,"Redmi 7 (Comet Blue, 2GB RAM, 32GB Storage)",https://www.digit.in/reviews/mobile-phones/xiaomi-redmi-7-review-177285.html
2499,"Redmi 7 (Comet Blue, 3GB RAM, 32GB Storage)",https://www.digit.in/reviews/mobile-phones/xiaomi-redmi-7-review-177285.html
2499,"Redmi 7 (Comet Blue, 64 GB)",https://www.digit.in/reviews/mobile-phones/xiaomi-redmi-7-review-177285.html
2499,"Redmi 7 (Eclipse Black, 2GB RAM, 32GB Storage)",https://www.digit.in/reviews/mobile-phones/xiaomi-redmi-7-review-177285.html
2499,"Redmi 7 (Eclipse Black, 2GB RAM, 32GB Storage)",https://www.digit.in/reviews/mobile-phones/xiaomi-redmi-7-review-177285.html
2499,"Redmi 7 (Eclipse Black, 32 GB)",https://www.digit.in/reviews/mobile-phones/xiaomi-redmi-7-review-177285.html
2499,"Redmi 7 (Lunar Red, 2GB RAM, 32GB Storage)",https://www.digit.in/reviews/mobile-phones/xiaomi-redmi-7-review-177285.html
2499,"Redmi 7 (Lunar Red, 3GB RAM, 32GB Storage)",https://www.digit.in/reviews/mobile-phones/xiaomi-redmi-7-review-177285.html
2499,"Redmi 7 (Lunar Red, 64 GB)",https://www.digit.in/reviews/mobile-phones/xiaomi-redmi-7-review-177285.html
2464,"Redmi Note 7 (Sapphire Blue, 32 GB)",https://www.digit.in/reviews/mobile-phones/xiaomi-redmi-7-review-177285.html
2464,"Redmi Note 7 (Sapphire Blue, 32 GB)",https://www.digit.in/reviews/mobile-phones/xiaomi-redmi-7-review-177285.html
2464,"Redmi Note 7 (Sapphire Blue, 64GB, 4GB RAM)",https://www.digit.in/reviews/mobile-phones/xiaomi-redmi-7-review-177285.html
2235,"Redmi Note 6 Pro (Blue, 4GB RAM, 64GB Storage)",https://www.digit.in/reviews/mobile-phones/xiaomi-redmi-note-6-pro-review-138337.html
2414,"Redmi Note 6 Pro (Red, 4GB RAM, 64GB Storage)",https://www.digit.in/reviews/mobile-phones/xiaomi-redmi-note-6-pro-review-138337.html
2202,"Redmi Y1 (Gold, 64 GB)",https://www.digit.in/reviews/mobile-phones/xiaomi-redmi-y1-review-69891.html
2203,"Redmi Y1 lite (Rose Gold, 16 GB)",https://www.digit.in/reviews/mobile-phones/xiaomi-redmi-y1-review-69891.html
2419,"Redmi Y2 (Black, 64 GB)",https://www.digit.in/reviews/mobile-phones/xiaomi-redmi-y2-review-131941.html
2419,"Redmi Y2 (Gold, 64 GB)",https://www.digit.in/reviews/mobile-phones/xiaomi-redmi-y2-review-131941.html
2491,"Redmi Y3 (Elegant Blue, 64 GB)",https://www.digit.in/reviews/mobile-phones/xiaomi-redmi-y3-review-181511.html
