source_product_name,url
"Samsung Galaxy S9 Plus (Coral Blue, 128 GB)",https://gadgets.ndtv.com/mobiles/reviews/samsung-galaxy-s9-plus-review-1824169
"Samsung Galaxy M10 (Charcoal Black, 32 GB)",https://gadgets.ndtv.com/mobiles/reviews/samsung-m10-review-galaxy-m10-india-price-1985414
"Samsung Galaxy M20 (Ocean Blue, 32 GB)",https://gadgets.ndtv.com/mobiles/reviews/samsung-m20-review-galaxy-m20-price-in-india-1985679
"Samsung Galaxy M30 (Gradation Black, 128 GB)",https://gadgets.ndtv.com/mobiles/reviews/samsung-m30-review-price-in-india-samsung-galaxy-m30-2005738
"Samsung Galaxy S10e (Prism White, 128 GB)",https://gadgets.ndtv.com/mobiles/reviews/samsung-s10e-review-galaxy-india-price-2014583
"Vivo NEX (Black, 128 GB)",https://gadgets.ndtv.com/mobiles/reviews/vivo-nex-review-india-1886024
"Vivo V11 Pro (Starry Night Black, 6GB RAM, 64GB Storage) with No Cost EMI/Additional Exchange Offers",https://gadgets.ndtv.com/mobiles/reviews/vivo-v11-pro-review-performance-battery-life-price-in-india-25990-1913475
"Vivo V15 (Frozen Black, 6GB RAM, 64GB Storage) with No Cost EMI/Additional Exchange Offers",https://gadgets.ndtv.com/mobiles/reviews/vivo-v15-review-india-price-2016157
Vivo V5s (Matte Black),https://gadgets.ndtv.com/mobiles/reviews/vivo-v5s-review-1691128
"Vivo V9 Pro (Black, 64 GB)",https://gadgets.ndtv.com/mobiles/reviews/vivo-v9-pro-review-1941486
"Vivo V9 (Pearl Black, 64 GB)",https://gadgets.ndtv.com/mobiles/reviews/vivo-v9-review-price-in-india-22990-specifications-design-notch-1829215
"Vivo X21 (Black, 128 GB)",https://gadgets.ndtv.com/mobiles/reviews/vivo-x21-review-1861155
"Xiaomi Mi A2 (Black, 4GB RAM, 64GB Storage)",https://gadgets.ndtv.com/mobiles/reviews/xiaomi-mi-a2-review-camera-performance-benchmark-battery-life-india-price-specifications-1897219
"Xiaomi Mi A2 (Black, 4GB RAM, 64GB Storage)",https://gadgets.ndtv.com/mobiles/reviews/xiaomi-mi-a2-review-camera-performance-benchmark-battery-life-india-price-specifications-1897219
"Redmi 6 Pro (Lake Blue, 64 GB)",https://gadgets.ndtv.com/mobiles/reviews/xiaomi-redmi-6-pro-review-1920819
"Redmi 6 Pro (Gold, 32 GB)",https://gadgets.ndtv.com/mobiles/reviews/xiaomi-redmi-6-pro-review-1920819
"Redmi 6 Pro (Red, 32 GB)",https://gadgets.ndtv.com/mobiles/reviews/xiaomi-redmi-6-pro-review-1920819
