source_id,product_id,source_product_id,source_product_name,source_product_url
3,20000111,B01GCQDKH0,"Whiskas Adult Cat Food Pocket Ocean Fish, 3 kg Pack",https://www.amazon.in/dp/B01GCQDKH0
3,20000112,B005LA8RH2,"Whiskas Adult Cat Food Pocket Tuna Flavour, 3 kg Pack",https://www.amazon.in/dp/B005LA8RH2
3,20000112,B01GCQD8WW,"Whiskas Adult Cat Food Pocket Tuna Flavour, 3 kg Pack",https://www.amazon.in/dp/B01GCQD8WW
3,20000113,B073P454G3,"Pedigree Puppy Food, Chicken Gravy, 2.4 kg",https://www.amazon.in/dp/B073P454G3
3,20000114,B073P4D9M2,"Pedigree Adult Dog Food, Chicken and Liver Chunks, 2.4 kg",https://www.amazon.in/dp/B073P4D9M2
3,20000115,B005FVA1J4,"Pedigree Dentastix for Small Breed Dog, 1.1 Kg (7 sticks, Pack of 10)",https://www.amazon.in/dp/B005FVA1J4
3,20000115,B0757QT154,"Pedigree Dentastix for Small Breed Dog, 1.1 Kg (7 sticks, Pack of 10)",https://www.amazon.in/dp/B0757QT154
3,20000116,B005FVA1DU,"Pedigree Dentastix for Medium Breed Dog, 1.8 Kg (7 sticks, Pack of 10)",https://www.amazon.in/dp/B005FVA1DU
3,20000117,B075CSYSWW,"Pedigree Dentastix for Large Breed Dog, 2.7 Kg (7 sticks, Pack of 10)",https://www.amazon.in/dp/B075CSYSWW
3,20000118,B00UV8XXZK,"Pedigree (Adult - Dog Food) Chicken & Vegetables, 480 gm Combo",https://www.amazon.in/dp/B00UV8XXZK
3,20000119,B00UV8XRQU,"Pedigree (Adult - Dog Food) Chicken & Milk, 480 gm Combo",https://www.amazon.in/dp/B00UV8XRQU
3,20000124,B00LHT7KR4,Sheba Succulent Chicken Breast in Gravy Can Premium Cat Food-85 gm,https://www.amazon.in/dp/B00LHT7KR4
3,20000133,B07CJWMJDK,AQUAGUARD SUPERB UTC RO+UV,https://www.amazon.in/gp/product/B07CJWMJDK
3,20000134,B077VPKJ7Q,AQUAGUARD UTC RO+UV,https://www.amazon.in/gp/product/B077VPKJ7Q
3,20000135,B00WQTWXKS,AQUAGUARD CRYSTAL PLUS UV,https://www.amazon.in/gp/product/B00WQTWXKS
3,20000136,B00WQTY5MC,AQUAGUARD ENHANCE RO+UV,https://www.amazon.in/gp/product/B00WQTY5MC
3,20000137,B00WQTYGWG,AQUAGUARD CD GENEUS RO+UV+UF,https://www.amazon.in/gp/product/B00WQTYGWG
3,20000138,B01AG5FTZ4,AQUAGUARD SUPERB RO WP SYSTEM,https://www.amazon.in/gp/product/B01AG5FTZ4
3,20000139,B01J18HGIA,AQUAGUARD SUPERB RO+UV+UF WP SYSTEM,https://www.amazon.in/gp/product/B01J18HGIA
3,20000140,B01AG5FTYU,AQUAGUARD SUPERB UV + UF WP SYSTEM,https://www.amazon.in/gp/product/B01AG5FTYU
3,20000141,B0095S9JU0,AQUASURE AQUAFLO DX NEW,https://www.amazon.in/gp/product/B0095S9JU0
3,20000142,B008QE1OIO,AQUASURE AMRIT STORAGE WATER PURIFIERNE,https://www.amazon.in/gp/product/B008QE1OIO
3,20000143,B0719R4NF2,AQUASURE DESIGNA,https://www.amazon.in/gp/product/B0719R4NF2
3,20000144,B078YHN9MY,AQUASURE SPLASH RO+UV+MTDS,https://www.amazon.in/gp/product/B078YHN9MY
3,20000145,B0095PD2OC,AQUASURE SMART WATER PURIFIER,https://www.amazon.in/gp/product/B0095PD2OC
3,20000146,B078YJ83ZJ,AQUASURE SPLASH RO+UF,https://www.amazon.in/gp/product/B078YJ83ZJ
3,20000147,B00E9HJF2Y,AQUASURE XTRA TUFF,https://www.amazon.in/gp/product/B00E9HJF2Y
3,20000148,B07DYSX1HP,"Eureka Forbes Aquasure from Aquaguard Smart Plus 6-litres RO+UV+MTDS Water Purifier,Black",https://www.amazon.in/Eureka-Forbes-Aquaguard-Smart-Plus/dp/B07DYSX1HP
3,20000150,B07BWXP7CV,"Pedigree Adult Dog Food (High Protein Variant) – Chicken, Egg & Rice, 3 Kg",https://www.amazon.in/Pedigree-Adult-Food-Protein-Variant/dp/B07BWXP7CV
3,20000150,B07BWVBZXQ,"Pedigree Adult Dog Food (High Protein Variant) - Chicken, Egg & Rice, 10 Kg Pack",https://www.amazon.in/Pedigree-Adult-Food-Protein-Variant/dp/B07BWVBZXQ
3,20000151,B01JM0XW1W,Eureka Forbes Super Clean Handheld Vacuum Cleaner (Red/Black),https://www.amazon.in/dp/B01JM0XW1W
3,20000152,B00V9NHDI4,Eureka Forbes Trendy Zip 1000-Watt Vacuum Cleaner (Black/Red),https://www.amazon.in/dp/B00V9NHDI4
3,20000153,B06XGBFYF6,Eureka Forbes Rapid Handheld Vacuum Cleaner (Red/Black),https://www.amazon.in/dp/B06XGBFYF6
3,20000154,B00F3ABSXU,Eureka Forbes Quick Clean DX 1200-Watt Vacuum Cleaner (Red) with Free Dust Bags,https://www.amazon.in/dp/B00F3ABSXU
